date,nb_patients,jour_semaine,weekend,mois,hiver,patients_hier,effectif_present,taux_absenteisme,nbre_lits_dispos,panne_materiel
2018-01-01,416,0,0,1,1,283.5219028062971,299,0.23423076923076921,146,0
2018-01-02,344,1,0,1,1,416.0,306,0.22115384615384615,157,1
2018-01-03,360,2,0,1,1,344.0,306,0.21923076923076923,116,0
2018-01-04,334,3,0,1,1,360.0,308,0.21884615384615386,139,1
2018-01-05,333,4,0,1,1,334.0,304,0.22923076923076924,153,1
2018-01-06,340,5,1,1,1,333.0,307,0.20846153846153845,170,1
2018-01-07,305,6,1,1,1,340.0,305,0.22653846153846155,186,0
2018-01-08,412,0,0,1,1,305.0,307,0.23076923076923078,155,0
2018-01-09,338,1,0,1,1,412.0,306,0.2169230769230769,151,0
2018-01-10,343,2,0,1,1,338.0,310,0.21769230769230768,131,0
2018-01-11,330,3,0,1,1,343.0,307,0.21461538461538462,144,0
2018-01-12,329,4,0,1,1,330.0,309,0.20576923076923076,130,0
2018-01-13,337,5,1,1,1,329.0,298,0.24000000000000002,150,0
2018-01-14,275,6,1,1,1,337.0,308,0.22346153846153843,122,0
2018-01-15,411,0,0,1,1,275.0,305,0.2234615384615385,147,1
2018-01-16,363,1,0,1,1,411.0,304,0.21846153846153846,187,0
2018-01-17,354,2,0,1,1,363.0,298,0.2323076923076923,147,1
2018-01-18,340,3,0,1,1,354.0,304,0.2253846153846154,170,0
2018-01-19,344,4,0,1,1,340.0,298,0.21923076923076923,154,1
2018-01-20,348,5,1,1,1,344.0,307,0.2196153846153846,125,0
2018-01-21,287,6,1,1,1,348.0,305,0.22,164,0
2018-01-22,399,0,0,1,1,287.0,307,0.22423076923076923,159,0
2018-01-23,361,1,0,1,1,399.0,306,0.21615384615384617,180,1
2018-01-24,318,2,0,1,1,361.0,304,0.21846153846153848,160,1
2018-01-25,337,3,0,1,1,318.0,313,0.2169230769230769,150,1
2018-01-26,332,4,0,1,1,337.0,310,0.2126923076923077,127,0
2018-01-27,339,5,1,1,1,332.0,301,0.2226923076923077,165,0
2018-01-28,291,6,1,1,1,339.0,310,0.21923076923076923,133,1
2018-01-29,375,0,0,1,1,291.0,304,0.22076923076923077,136,0
2018-01-30,329,1,0,1,1,375.0,297,0.23153846153846155,145,1
2018-01-31,353,2,0,1,1,329.0,310,0.21769230769230768,170,0
2018-02-01,352,3,0,2,1,353.0,303,0.21923076923076923,160,1
2018-02-02,369,4,0,2,1,352.0,308,0.21384615384615382,156,1
2018-02-03,340,5,1,2,1,369.0,315,0.21538461538461537,155,1
2018-02-04,296,6,1,2,1,340.0,300,0.22807692307692307,123,0
2018-02-05,401,0,0,2,1,296.0,306,0.21230769230769234,149,0
2018-02-06,356,1,0,2,1,401.0,305,0.22192307692307695,126,1
2018-02-07,387,2,0,2,1,356.0,310,0.2076923076923077,139,0
2018-02-08,349,3,0,2,1,387.0,306,0.21538461538461537,141,0
2018-02-09,329,4,0,2,1,349.0,308,0.2107692307692308,142,0
2018-02-10,338,5,1,2,1,329.0,304,0.22615384615384615,154,0
2018-02-11,300,6,1,2,1,338.0,306,0.22153846153846152,164,0
2018-02-12,382,0,0,2,1,300.0,307,0.21884615384615386,149,0
2018-02-13,349,1,0,2,1,382.0,307,0.21615384615384617,111,1
2018-02-14,339,2,0,2,1,349.0,308,0.21884615384615386,134,0
2018-02-15,335,3,0,2,1,339.0,310,0.2246153846153846,145,0
2018-02-16,334,4,0,2,1,335.0,306,0.21346153846153845,146,0
2018-02-17,340,5,1,2,1,334.0,307,0.22076923076923077,160,0
2018-02-18,335,6,1,2,1,340.0,307,0.21769230769230768,140,0
2018-02-19,354,0,0,2,1,335.0,300,0.24076923076923076,129,0
2018-02-20,344,1,0,2,1,354.0,307,0.2169230769230769,123,0
2018-02-21,355,2,0,2,1,344.0,305,0.22153846153846152,127,0
2018-02-22,332,3,0,2,1,355.0,303,0.2253846153846154,144,1
2018-02-23,327,4,0,2,1,332.0,298,0.23076923076923078,133,1
2018-02-24,320,5,1,2,1,327.0,303,0.22423076923076923,146,0
2018-02-25,294,6,1,2,1,320.0,316,0.20423076923076922,136,0
2018-02-26,393,0,0,2,1,294.0,305,0.21807692307692308,151,0
2018-02-27,320,1,0,2,1,393.0,306,0.2226923076923077,133,1
2018-02-28,350,2,0,2,1,320.0,306,0.2234615384615385,157,0
2018-03-01,257,3,0,3,0,350.0,328,0.1696153846153846,132,0
2018-03-02,258,4,0,3,0,257.0,320,0.1823076923076923,155,0
2018-03-03,273,5,1,3,0,258.0,328,0.16423076923076924,120,0
2018-03-04,240,6,1,3,0,273.0,329,0.1676923076923077,113,0
2018-03-05,312,0,0,3,0,240.0,324,0.17807692307692308,180,1
2018-03-06,257,1,0,3,0,312.0,325,0.16461538461538464,145,0
2018-03-07,273,2,0,3,0,257.0,328,0.1719230769230769,147,0
2018-03-08,246,3,0,3,0,273.0,332,0.16076923076923075,171,0
2018-03-09,276,4,0,3,0,246.0,327,0.17076923076923078,154,1
2018-03-10,246,5,1,3,0,276.0,330,0.16884615384615387,174,0
2018-03-11,235,6,1,3,0,246.0,317,0.1903846153846154,161,0
2018-03-12,293,0,0,3,0,235.0,323,0.17538461538461542,133,0
2018-03-13,240,1,0,3,0,293.0,326,0.165,137,1
2018-03-14,278,2,0,3,0,240.0,329,0.16615384615384615,136,0
2018-03-15,254,3,0,3,0,278.0,321,0.18576923076923077,181,0
2018-03-16,245,4,0,3,0,254.0,321,0.17230769230769233,165,0
2018-03-17,251,5,1,3,0,245.0,323,0.1823076923076923,148,1
2018-03-18,216,6,1,3,0,251.0,331,0.16423076923076924,146,0
2018-03-19,322,0,0,3,0,216.0,329,0.16461538461538464,155,0
2018-03-20,259,1,0,3,0,322.0,321,0.1726923076923077,172,1
2018-03-21,253,2,0,3,0,259.0,327,0.1726923076923077,146,1
2018-03-22,270,3,0,3,0,253.0,329,0.16576923076923078,140,0
2018-03-23,261,4,0,3,0,270.0,318,0.18615384615384614,139,0
2018-03-24,285,5,1,3,0,261.0,326,0.17115384615384616,147,1
2018-03-25,218,6,1,3,0,285.0,325,0.175,135,0
2018-03-26,291,0,0,3,0,218.0,322,0.17307692307692307,124,0
2018-03-27,259,1,0,3,0,291.0,323,0.175,178,1
2018-03-28,263,2,0,3,0,259.0,319,0.18346153846153848,142,0
2018-03-29,259,3,0,3,0,263.0,317,0.17538461538461542,138,0
2018-03-30,290,4,0,3,0,259.0,327,0.16846153846153847,152,0
2018-03-31,275,5,1,3,0,290.0,322,0.16923076923076924,137,1
2018-04-01,225,6,1,4,0,275.0,326,0.17307692307692307,172,1
2018-04-02,309,0,0,4,0,225.0,329,0.17038461538461538,151,1
2018-04-03,258,1,0,4,0,309.0,331,0.16192307692307692,153,1
2018-04-04,278,2,0,4,0,258.0,326,0.17076923076923078,125,0
2018-04-05,294,3,0,4,0,278.0,320,0.17807692307692308,158,0
2018-04-06,250,4,0,4,0,294.0,328,0.1719230769230769,182,1
2018-04-07,251,5,1,4,0,250.0,323,0.1719230769230769,178,1
2018-04-08,254,6,1,4,0,251.0,324,0.17384615384615387,170,1
2018-04-09,313,0,0,4,0,254.0,329,0.165,160,1
2018-04-10,245,1,0,4,0,313.0,323,0.17461538461538462,144,0
2018-04-11,280,2,0,4,0,245.0,328,0.16576923076923078,142,0
2018-04-12,263,3,0,4,0,280.0,329,0.15730769230769232,152,0
2018-04-13,290,4,0,4,0,263.0,322,0.1776923076923077,164,0
2018-04-14,255,5,1,4,0,290.0,325,0.16999999999999998,151,0
2018-04-15,231,6,1,4,0,255.0,324,0.17461538461538462,129,0
2018-04-16,318,0,0,4,0,231.0,318,0.18346153846153848,144,0
2018-04-17,245,1,0,4,0,318.0,324,0.1676923076923077,136,0
2018-04-18,286,2,0,4,0,245.0,331,0.16576923076923078,158,0
2018-04-19,262,3,0,4,0,286.0,325,0.17461538461538462,149,0
2018-04-20,279,4,0,4,0,262.0,321,0.17153846153846153,134,0
2018-04-21,277,5,1,4,0,279.0,322,0.17461538461538462,128,1
2018-04-22,237,6,1,4,0,277.0,323,0.18076923076923077,141,1
2018-04-23,294,0,0,4,0,237.0,330,0.16653846153846155,133,1
2018-04-24,274,1,0,4,0,294.0,326,0.1896153846153846,178,0
2018-04-25,258,2,0,4,0,274.0,325,0.16923076923076924,159,0
2018-04-26,259,3,0,4,0,258.0,325,0.16384615384615384,153,0
2018-04-27,286,4,0,4,0,259.0,337,0.15307692307692308,162,0
2018-04-28,267,5,1,4,0,286.0,325,0.17076923076923078,143,0
2018-04-29,230,6,1,4,0,267.0,322,0.17538461538461536,155,0
2018-04-30,301,0,0,4,0,230.0,319,0.17307692307692307,151,0
2018-05-01,262,1,0,5,0,301.0,325,0.1726923076923077,128,0
2018-05-02,251,2,0,5,0,262.0,329,0.16692307692307692,165,0
2018-05-03,262,3,0,5,0,251.0,325,0.17153846153846153,146,1
2018-05-04,263,4,0,5,0,262.0,330,0.16076923076923075,123,0
2018-05-05,241,5,1,5,0,263.0,328,0.1630769230769231,139,0
2018-05-06,234,6,1,5,0,241.0,325,0.16846153846153847,162,1
2018-05-07,317,0,0,5,0,234.0,328,0.16653846153846155,181,0
2018-05-08,280,1,0,5,0,317.0,319,0.17653846153846153,145,1
2018-05-09,269,2,0,5,0,280.0,323,0.16692307692307692,159,0
2018-05-10,265,3,0,5,0,269.0,325,0.1719230769230769,134,0
2018-05-11,257,4,0,5,0,265.0,316,0.18076923076923077,163,1
2018-05-12,264,5,1,5,0,257.0,332,0.1696153846153846,136,1
2018-05-13,234,6,1,5,0,264.0,331,0.1696153846153846,177,1
2018-05-14,323,0,0,5,0,234.0,324,0.17115384615384616,178,0
2018-05-15,269,1,0,5,0,323.0,330,0.16192307692307692,159,1
2018-05-16,268,2,0,5,0,269.0,317,0.17730769230769233,180,0
2018-05-17,282,3,0,5,0,268.0,329,0.1676923076923077,170,1
2018-05-18,270,4,0,5,0,282.0,326,0.16269230769230772,132,0
2018-05-19,235,5,1,5,0,270.0,330,0.1676923076923077,137,0
2018-05-20,197,6,1,5,0,235.0,323,0.1696153846153846,172,0
2018-05-21,321,0,0,5,0,197.0,330,0.16576923076923078,133,0
2018-05-22,258,1,0,5,0,321.0,317,0.18384615384615385,169,1
2018-05-23,265,2,0,5,0,258.0,330,0.16615384615384615,111,1
2018-05-24,255,3,0,5,0,265.0,326,0.16192307692307692,136,0
2018-05-25,259,4,0,5,0,255.0,321,0.17615384615384616,110,0
2018-05-26,275,5,1,5,0,259.0,327,0.16653846153846155,157,0
2018-05-27,230,6,1,5,0,275.0,327,0.1630769230769231,163,0
2018-05-28,296,0,0,5,0,230.0,323,0.16846153846153847,160,0
2018-05-29,288,1,0,5,0,296.0,326,0.1719230769230769,157,1
2018-05-30,298,2,0,5,0,288.0,324,0.17423076923076924,180,0
2018-05-31,268,3,0,5,0,298.0,320,0.17153846153846153,143,0
2018-06-01,239,4,0,6,0,268.0,322,0.17884615384615385,112,1
2018-06-02,266,5,1,6,0,239.0,332,0.16269230769230772,135,0
2018-06-03,239,6,1,6,0,266.0,322,0.1776923076923077,165,0
2018-06-04,302,0,0,6,0,239.0,321,0.17038461538461538,150,0
2018-06-05,240,1,0,6,0,302.0,329,0.16538461538461538,138,0
