date_heure_inventaire,services,types_de_lits_disponibles,nbre_lits_dispos,equipements_disponibles
2018-01-01 08:00:00,Cardiologie,Lit Standard,6,Echo-Doppler
2018-01-01 08:00:00,Neurologie,Lit Standard,13,Chariot Urgence
2018-01-01 08:00:00,Pneumologie,Lit Standard,3,Echo-Doppler
2018-01-01 08:00:00,Infectieux,Lit Standard,4,Scanner
2018-01-01 08:00:00,Geriatrie,Lit Standard,12,Radio Standard
2018-01-01 08:00:00,Medecine_Interne,Lit Standard,22,Scanner
2018-01-01 08:00:00,Chirurgie_Ortho,Lit Standard,11,Radio Standard
2018-01-01 08:00:00,Chirurgie_Viscerale,Lit Standard,20,Chariot Urgence
2018-01-01 08:00:00,Chirurgie_Cardio,Lit Standard,4,Moniteur Multiparametrique
2018-01-01 08:00:00,Neurochirurgie,Lit Standard,11,Moniteur Multiparametrique
2018-01-01 08:00:00,Psychiatrie,Lit Standard,17,Echo-Doppler
2018-01-01 08:00:00,Gyneco_Obstetrique,Lit Standard,9,Moniteur Multiparametrique
2018-01-01 08:00:00,Urgences,Brancard,14,Ventilateur Respiratoire
2018-01-02 08:00:00,Cardiologie,Lit Standard,10,ECG
2018-01-02 08:00:00,Neurologie,Lit Standard,17,Ventilateur Respiratoire
2018-01-02 08:00:00,Pneumologie,Lit Standard,9,Radio Standard
2018-01-02 08:00:00,Infectieux,Lit Standard,10,Ventilateur Respiratoire
2018-01-02 08:00:00,Geriatrie,Lit Standard,9,ECG
2018-01-02 08:00:00,Medecine_Interne,Lit Standard,12,Scanner
2018-01-02 08:00:00,Chirurgie_Ortho,Lit Standard,16,Radio Standard
2018-01-02 08:00:00,Chirurgie_Viscerale,Lit Standard,22,Echo-Doppler
2018-01-02 08:00:00,Chirurgie_Cardio,Lit Standard,5,IRM
2018-01-02 08:00:00,Neurochirurgie,Lit Standard,16,Moniteur Multiparametrique
2018-01-02 08:00:00,Psychiatrie,Lit Standard,12,Indisponible
2018-01-02 08:00:00,Gyneco_Obstetrique,Lit Standard,5,Echo-Doppler
2018-01-02 08:00:00,Urgences,Brancard,14,Scanner
2018-01-03 08:00:00,Cardiologie,Lit Standard,8,Chariot Urgence
2018-01-03 08:00:00,Neurologie,Lit Standard,10,Echo-Doppler
2018-01-03 08:00:00,Pneumologie,Lit Standard,13,ECG
2018-01-03 08:00:00,Infectieux,Lit Standard,7,Moniteur Multiparametrique
2018-01-03 08:00:00,Geriatrie,Lit Standard,17,Scanner
2018-01-03 08:00:00,Medecine_Interne,Lit Standard,9,Scanner
2018-01-03 08:00:00,Chirurgie_Ortho,Lit Standard,5,Radio Standard
2018-01-03 08:00:00,Chirurgie_Viscerale,Lit Standard,19,Radio Standard
2018-01-03 08:00:00,Chirurgie_Cardio,Lit Standard,4,IRM
2018-01-03 08:00:00,Neurochirurgie,Lit Standard,8,Scanner
2018-01-03 08:00:00,Psychiatrie,Lit Standard,6,IRM
2018-01-03 08:00:00,Gyneco_Obstetrique,Lit Standard,2,Ventilateur Respiratoire
2018-01-03 08:00:00,Urgences,Brancard,8,IRM
2018-01-04 08:00:00,Cardiologie,Lit Standard,7,Moniteur Multiparametrique
2018-01-04 08:00:00,Neurologie,Lit Standard,4,IRM
2018-01-04 08:00:00,Pneumologie,Lit Standard,9,IRM
2018-01-04 08:00:00,Infectieux,Lit Standard,6,Radio Standard
2018-01-04 08:00:00,Geriatrie,Lit Standard,26,Radio Standard
2018-01-04 08:00:00,Medecine_Interne,Lit Standard,16,ECG
2018-01-04 08:00:00,Chirurgie_Ortho,Lit Standard,19,IRM
2018-01-04 08:00:00,Chirurgie_Viscerale,Lit Standard,18,Radio Standard
2018-01-04 08:00:00,Chirurgie_Cardio,Lit Standard,5,Moniteur Multiparametrique
2018-01-04 08:00:00,Neurochirurgie,Lit Standard,7,Moniteur Multiparametrique
2018-01-04 08:00:00,Psychiatrie,Lit Standard,17,Ventilateur Respiratoire
2018-01-04 08:00:00,Gyneco_Obstetrique,Lit Standard,2,Indisponible
2018-01-04 08:00:00,Urgences,Brancard,3,Moniteur Multiparametrique
2018-01-05 08:00:00,Cardiologie,Lit Standard,10,Echo-Doppler
2018-01-05 08:00:00,Neurologie,Lit Standard,9,Chariot Urgence
2018-01-05 08:00:00,Pneumologie,Lit Standard,7,IRM
2018-01-05 08:00:00,Infectieux,Lit Standard,10,Moniteur Multiparametrique
2018-01-05 08:00:00,Geriatrie,Lit Standard,5,IRM
2018-01-05 08:00:00,Medecine_Interne,Lit Standard,18,ECG
2018-01-05 08:00:00,Chirurgie_Ortho,Lit Standard,25,Chariot Urgence
2018-01-05 08:00:00,Chirurgie_Viscerale,Lit Standard,18,Chariot Urgence
2018-01-05 08:00:00,Chirurgie_Cardio,Lit Standard,9,Indisponible
2018-01-05 08:00:00,Neurochirurgie,Lit Standard,16,Radio Standard
2018-01-05 08:00:00,Psychiatrie,Lit Standard,15,Moniteur Multiparametrique
2018-01-05 08:00:00,Gyneco_Obstetrique,Lit Standard,4,Moniteur Multiparametrique
2018-01-05 08:00:00,Urgences,Brancard,7,Chariot Urgence
2018-01-06 08:00:00,Cardiologie,Lit Standard,17,Indisponible
2018-01-06 08:00:00,Neurologie,Lit Standard,17,Scanner
2018-01-06 08:00:00,Pneumologie,Lit Standard,12,Ventilateur Respiratoire
2018-01-06 08:00:00,Infectieux,Lit Standard,10,Chariot Urgence
2018-01-06 08:00:00,Geriatrie,Lit Standard,19,Chariot Urgence
2018-01-06 08:00:00,Medecine_Interne,Lit Standard,19,Moniteur Multiparametrique
2018-01-06 08:00:00,Chirurgie_Ortho,Lit Standard,7,Radio Standard
2018-01-06 08:00:00,Chirurgie_Viscerale,Lit Standard,19,Echo-Doppler
2018-01-06 08:00:00,Chirurgie_Cardio,Lit Standard,9,Chariot Urgence
